date,department,program of study,year of study,overall quality of education,accessibility of college resources,effectiveness of communication channels,quality of campus facilities,likelihood to recommend the college,satisfaction with extracurricular activities,support provided by academic advisors,promotion of diversity and inclusion,effectiveness of career services,satisfaction with IT support,greatest strength,areas needing improvement,positive experience with professor/staff,additional resources or support desired,suggestions for enhancing student engagement
2023-06-01,Business,Software Engineering,1.2,3,1,1,5,1,4,2,3,5,4,Good emphasis on technology and innovation.,More diverse extracurricular activities are needed.,The staff at the IT helpdesk was incredibly supportive during my project.,Increased access to online learning materials.,More hands-on workshops and hackathons.
2023-04-26,Business,Financial Engineering,1.2,5,3,3,1,5,2,5,4,3,3,Supportive career services and guidance.,More diverse extracurricular activities are needed.,A faculty member guided me towards an internship opportunity that shaped my career.,Increased access to online learning materials.,Regular town hall meetings to discuss student concerns.
2023-05-04,Technical,Software Engineering,3.1,5,1,5,5,2,3,3,1,4,4,Well-maintained library and excellent resources.,Need for more modern and updated classroom facilities.,A faculty member guided me towards an internship opportunity that shaped my career.,Better mental health support services.,Regular town hall meetings to discuss student concerns.
2023-03-17,Technical,Digital Marketing,1.1,5,3,2,3,3,1,1,4,3,5,Good emphasis on technology and innovation.,Better coordination in scheduling exams and assignments.,The librarian was extremely helpful in finding specific research materials.,Additional workshops on modern technologies and tools.,Increased collaboration opportunities between departments.
2023-02-17,Technical,Data Science,2.1,3,2,5,5,3,4,1,5,2,3,Supportive career services and guidance.,Better coordination in scheduling exams and assignments.,A faculty member guided me towards an internship opportunity that shaped my career.,More frequent career counseling sessions.,More hands-on workshops and hackathons.
2023-03-12,Technical,Software Engineering,2.1,4,5,3,5,1,5,4,3,2,1,Well-maintained library and excellent resources.,Better coordination in scheduling exams and assignments.,The staff at the IT helpdesk was incredibly supportive during my project.,Better mental health support services.,Frequent cultural and diversity events.
2023-03-25,Business,Financial Engineering,2.2,5,1,1,1,5,3,2,5,5,5,Supportive career services and guidance.,Better coordination in scheduling exams and assignments.,Professor Smith helped me grasp difficult concepts in networking.,Increased access to online learning materials.,Regular town hall meetings to discuss student concerns.
2023-05-13,Business,Software Engineering,3.1,3,4,3,1,4,2,3,1,3,3,Good emphasis on technology and innovation.,Improvement in Wi-Fi connectivity across the campus.,A faculty member guided me towards an internship opportunity that shaped my career.,Additional workshops on modern technologies and tools.,Regular town hall meetings to discuss student concerns.
2023-08-22,Technical,Software Engineering,3.2,5,2,2,1,3,5,4,4,1,4,Great opportunities for practical learning and internships.,Need for more modern and updated classroom facilities.,The librarian was extremely helpful in finding specific research materials.,Better mental health support services.,Frequent cultural and diversity events.
2023-06-07,Business,Telecommunication,3.2,3,2,4,5,1,1,2,1,2,2,Good emphasis on technology and innovation.,Better coordination in scheduling exams and assignments.,Professor Smith helped me grasp difficult concepts in networking.,More study spaces during exam periods would be helpful.,Frequent cultural and diversity events.
2023-03-15,Business,Data Science,2.2,2,5,1,2,1,2,2,1,5,5,Good emphasis on technology and innovation.,Better coordination in scheduling exams and assignments.,A faculty member guided me towards an internship opportunity that shaped my career.,Additional workshops on modern technologies and tools.,More student-led clubs and activities would boost engagement.
2023-06-28,Technical,Financial Engineering,3.1,2,1,3,2,2,4,4,1,1,1,Great opportunities for practical learning and internships.,Improvement in Wi-Fi connectivity across the campus.,The librarian was extremely helpful in finding specific research materials.,Additional workshops on modern technologies and tools.,More student-led clubs and activities would boost engagement.
2023-01-19,Business,Software Engineering,2.2,2,3,4,5,4,1,2,3,1,1,Strong academic curriculum and supportive faculty.,More diverse extracurricular activities are needed.,A faculty member guided me towards an internship opportunity that shaped my career.,More frequent career counseling sessions.,Frequent cultural and diversity events.
2023-05-05,Technical,Telecommunication,1.1,4,2,2,3,4,5,1,4,1,4,Good emphasis on technology and innovation.,More diverse extracurricular activities are needed.,The staff at the IT helpdesk was incredibly supportive during my project.,Additional workshops on modern technologies and tools.,Frequent cultural and diversity events.
2023-04-20,Technical,Software Engineering,1.2,5,3,4,3,2,3,3,5,2,3,Supportive career services and guidance.,More diverse extracurricular activities are needed.,The staff at the IT helpdesk was incredibly supportive during my project.,Increased access to online learning materials.,More hands-on workshops and hackathons.
2023-06-09,Technical,Software Engineering,1.2,5,4,2,1,4,2,4,1,2,2,Good emphasis on technology and innovation.,Need for more modern and updated classroom facilities.,The staff at the IT helpdesk was incredibly supportive during my project.,More study spaces during exam periods would be helpful.,Frequent cultural and diversity events.
2023-07-29,Business,Computer Networking,1.2,1,4,2,2,5,3,1,2,5,3,Supportive career services and guidance.,Better coordination in scheduling exams and assignments.,A faculty member guided me towards an internship opportunity that shaped my career.,Additional workshops on modern technologies and tools.,More student-led clubs and activities would boost engagement.
2023-07-19,Technical,Data Science,1.1,5,2,2,2,5,3,2,4,4,4,Supportive career services and guidance.,Improvement in Wi-Fi connectivity across the campus.,The staff at the IT helpdesk was incredibly supportive during my project.,More frequent career counseling sessions.,Increased collaboration opportunities between departments.
2023-06-22,Business,Digital Marketing,1.1,5,2,1,1,5,5,2,4,4,3,Supportive career services and guidance.,Need for more modern and updated classroom facilities.,Professor Smith helped me grasp difficult concepts in networking.,More study spaces during exam periods would be helpful.,Increased collaboration opportunities between departments.
2023-09-04,Technical,Software Engineering,1.1,2,1,3,1,1,4,4,2,2,2,Strong academic curriculum and supportive faculty.,More diverse extracurricular activities are needed.,The staff at the IT helpdesk was incredibly supportive during my project.,More frequent career counseling sessions.,Frequent cultural and diversity events.
2023-07-09,Business,Financial Engineering,1.1,2,1,2,1,1,4,4,4,3,3,Supportive career services and guidance.,Better coordination in scheduling exams and assignments.,Professor Smith helped me grasp difficult concepts in networking.,More study spaces during exam periods would be helpful.,Regular town hall meetings to discuss student concerns.
2023-01-29,Business,Data Science,3.1,3,5,1,3,5,4,4,4,2,2,Well-maintained library and excellent resources.,Better coordination in scheduling exams and assignments.,The staff at the IT helpdesk was incredibly supportive during my project.,Additional workshops on modern technologies and tools.,More student-led clubs and activities would boost engagement.
2023-07-26,Business,Financial Engineering,3.1,5,3,1,1,4,4,4,3,5,2,Supportive career services and guidance.,More diverse extracurricular activities are needed.,The librarian was extremely helpful in finding specific research materials.,More study spaces during exam periods would be helpful.,Increased collaboration opportunities between departments.
2023-05-25,Business,Telecommunication,2.2,1,4,4,1,5,1,3,4,2,1,Well-maintained library and excellent resources.,Better coordination in scheduling exams and assignments.,The staff at the IT helpdesk was incredibly supportive during my project.,Better mental health support services.,Regular town hall meetings to discuss student concerns.
2023-04-21,Technical,Data Science,3.2,3,1,5,4,3,3,5,2,1,4,Good emphasis on technology and innovation.,Need for more modern and updated classroom facilities.,The librarian was extremely helpful in finding specific research materials.,Increased access to online learning materials.,More hands-on workshops and hackathons.
2023-03-13,Business,Data Science,2.1,4,2,3,3,1,1,2,5,2,2,Well-maintained library and excellent resources.,Better communication between departments.,The staff at the IT helpdesk was incredibly supportive during my project.,More study spaces during exam periods would be helpful.,More hands-on workshops and hackathons.
2023-08-17,Business,Software Engineering,3.2,3,4,5,4,4,5,2,3,2,5,Strong academic curriculum and supportive faculty.,Need for more modern and updated classroom facilities.,The librarian was extremely helpful in finding specific research materials.,More frequent career counseling sessions.,Increased collaboration opportunities between departments.
2023-07-08,Business,Financial Engineering,3.1,5,2,3,5,5,1,5,1,2,3,Strong academic curriculum and supportive faculty.,Need for more modern and updated classroom facilities.,The staff at the IT helpdesk was incredibly supportive during my project.,More study spaces during exam periods would be helpful.,More student-led clubs and activities would boost engagement.
2023-03-19,Technical,Computer Networking,3.1,3,2,5,4,5,2,4,3,2,1,Good emphasis on technology and innovation.,Need for more modern and updated classroom facilities.,The staff at the IT helpdesk was incredibly supportive during my project.,Better mental health support services.,Increased collaboration opportunities between departments.
2023-03-11,Technical,Data Science,1.2,5,4,3,5,5,1,3,2,3,3,Well-maintained library and excellent resources.,More diverse extracurricular activities are needed.,The librarian was extremely helpful in finding specific research materials.,Additional workshops on modern technologies and tools.,More hands-on workshops and hackathons.
2023-05-24,Business,Financial Engineering,2.2,4,3,5,2,4,1,1,2,3,1,Great opportunities for practical learning and internships.,Better coordination in scheduling exams and assignments.,A faculty member guided me towards an internship opportunity that shaped my career.,Additional workshops on modern technologies and tools.,More student-led clubs and activities would boost engagement.
2023-02-18,Technical,Computer Networking,1.2,4,1,3,2,3,5,5,2,2,3,Good emphasis on technology and innovation.,Better coordination in scheduling exams and assignments.,A faculty member guided me towards an internship opportunity that shaped my career.,Increased access to online learning materials.,Frequent cultural and diversity events.
2023-06-12,Technical,Financial Engineering,3.1,1,3,1,3,1,5,4,1,1,5,Great opportunities for practical learning and internships.,Need for more modern and updated classroom facilities.,The staff at the IT helpdesk was incredibly supportive during my project.,Better mental health support services.,Increased collaboration opportunities between departments.
2023-05-21,Technical,Digital Marketing,2.1,4,3,4,1,5,2,4,4,4,3,Supportive career services and guidance.,Better communication between departments.,My academic advisor was always available and provided great guidance.,Additional workshops on modern technologies and tools.,Regular town hall meetings to discuss student concerns.
2023-08-25,Business,Digital Marketing,1.2,2,2,3,5,3,1,5,5,3,4,Strong academic curriculum and supportive faculty.,More diverse extracurricular activities are needed.,Professor Smith helped me grasp difficult concepts in networking.,Increased access to online learning materials.,Increased collaboration opportunities between departments.
2023-04-19,Technical,Data Science,1.2,1,1,2,1,4,3,1,3,5,4,Great opportunities for practical learning and internships.,Improvement in Wi-Fi connectivity across the campus.,Professor Smith helped me grasp difficult concepts in networking.,Increased access to online learning materials.,Increased collaboration opportunities between departments.
2023-07-30,Business,Software Engineering,3.2,5,4,2,2,1,3,5,4,2,2,Good emphasis on technology and innovation.,Need for more modern and updated classroom facilities.,The staff at the IT helpdesk was incredibly supportive during my project.,More study spaces during exam periods would be helpful.,More student-led clubs and activities would boost engagement.
2023-05-16,Technical,Financial Engineering,1.1,2,5,2,4,5,1,3,4,1,4,Good emphasis on technology and innovation.,Better communication between departments.,Professor Smith helped me grasp difficult concepts in networking.,Better mental health support services.,Regular town hall meetings to discuss student concerns.
2023-03-11,Business,Financial Engineering,2.2,2,4,2,1,2,5,2,5,5,5,Good emphasis on technology and innovation.,Better communication between departments.,My academic advisor was always available and provided great guidance.,More study spaces during exam periods would be helpful.,More student-led clubs and activities would boost engagement.
2023-01-20,Business,Data Science,2.1,1,3,2,5,5,3,2,2,5,2,Supportive career services and guidance.,Better coordination in scheduling exams and assignments.,The librarian was extremely helpful in finding specific research materials.,More frequent career counseling sessions.,More hands-on workshops and hackathons.
2023-05-04,Technical,Software Engineering,2.1,1,2,3,2,3,3,2,2,1,5,Strong academic curriculum and supportive faculty.,Need for more modern and updated classroom facilities.,My academic advisor was always available and provided great guidance.,Additional workshops on modern technologies and tools.,Increased collaboration opportunities between departments.
2023-01-07,Business,Data Science,1.1,5,4,1,3,4,4,5,2,4,5,Strong academic curriculum and supportive faculty.,Improvement in Wi-Fi connectivity across the campus.,The staff at the IT helpdesk was incredibly supportive during my project.,More study spaces during exam periods would be helpful.,Regular town hall meetings to discuss student concerns.
2023-04-15,Technical,Telecommunication,1.1,4,2,5,2,3,5,3,3,2,3,Supportive career services and guidance.,More diverse extracurricular activities are needed.,Professor Smith helped me grasp difficult concepts in networking.,More frequent career counseling sessions.,More student-led clubs and activities would boost engagement.
2023-03-10,Business,Financial Engineering,3.1,5,2,4,3,1,1,2,2,3,5,Well-maintained library and excellent resources.,Better coordination in scheduling exams and assignments.,A faculty member guided me towards an internship opportunity that shaped my career.,Increased access to online learning materials.,More hands-on workshops and hackathons.
2023-08-22,Technical,Digital Marketing,1.2,3,1,1,4,1,4,1,1,4,4,Well-maintained library and excellent resources.,Better communication between departments.,Professor Smith helped me grasp difficult concepts in networking.,Increased access to online learning materials.,Regular town hall meetings to discuss student concerns.
2023-07-12,Technical,Computer Networking,3.2,5,5,5,3,1,4,3,3,3,2,Good emphasis on technology and innovation.,Improvement in Wi-Fi connectivity across the campus.,Professor Smith helped me grasp difficult concepts in networking.,More frequent career counseling sessions.,Frequent cultural and diversity events.
2023-03-09,Technical,Software Engineering,3.1,5,5,5,2,2,3,3,2,4,5,Well-maintained library and excellent resources.,Better communication between departments.,My academic advisor was always available and provided great guidance.,Increased access to online learning materials.,More student-led clubs and activities would boost engagement.
2023-01-07,Technical,Data Science,2.2,5,4,4,3,3,3,3,3,1,3,Great opportunities for practical learning and internships.,Need for more modern and updated classroom facilities.,My academic advisor was always available and provided great guidance.,Increased access to online learning materials.,More hands-on workshops and hackathons.
2023-08-29,Technical,Data Science,3.1,1,2,3,2,4,1,1,5,4,3,Supportive career services and guidance.,Better coordination in scheduling exams and assignments.,A faculty member guided me towards an internship opportunity that shaped my career.,More frequent career counseling sessions.,More student-led clubs and activities would boost engagement.
2023-02-04,Technical,Data Science,2.2,2,1,3,1,2,2,1,2,1,1,Good emphasis on technology and innovation.,Better coordination in scheduling exams and assignments.,Professor Smith helped me grasp difficult concepts in networking.,Additional workshops on modern technologies and tools.,More hands-on workshops and hackathons.
2023-05-17,Business,Data Science,2.2,4,5,4,3,4,1,2,5,5,1,Supportive career services and guidance.,Better communication between departments.,A faculty member guided me towards an internship opportunity that shaped my career.,More study spaces during exam periods would be helpful.,More student-led clubs and activities would boost engagement.
2023-07-27,Business,Digital Marketing,3.1,2,5,1,2,1,4,2,1,4,3,Great opportunities for practical learning and internships.,Better coordination in scheduling exams and assignments.,My academic advisor was always available and provided great guidance.,Better mental health support services.,Increased collaboration opportunities between departments.
2023-07-31,Business,Financial Engineering,1.2,2,1,5,4,3,5,3,1,1,4,Supportive career services and guidance.,More diverse extracurricular activities are needed.,Professor Smith helped me grasp difficult concepts in networking.,Increased access to online learning materials.,Frequent cultural and diversity events.
2023-04-21,Technical,Computer Networking,2.1,1,5,5,1,1,3,5,2,5,3,Well-maintained library and excellent resources.,Better coordination in scheduling exams and assignments.,A faculty member guided me towards an internship opportunity that shaped my career.,Better mental health support services.,Regular town hall meetings to discuss student concerns.
2023-05-11,Technical,Data Science,1.2,2,3,3,2,5,5,1,3,4,4,Well-maintained library and excellent resources.,Need for more modern and updated classroom facilities.,The librarian was extremely helpful in finding specific research materials.,More study spaces during exam periods would be helpful.,Regular town hall meetings to discuss student concerns.
2023-05-12,Technical,Digital Marketing,3.1,3,4,2,3,4,1,4,1,1,3,Great opportunities for practical learning and internships.,Improvement in Wi-Fi connectivity across the campus.,A faculty member guided me towards an internship opportunity that shaped my career.,Additional workshops on modern technologies and tools.,Frequent cultural and diversity events.
2023-05-03,Business,Software Engineering,2.1,4,2,4,2,4,2,5,4,4,3,Good emphasis on technology and innovation.,Better coordination in scheduling exams and assignments.,The staff at the IT helpdesk was incredibly supportive during my project.,More frequent career counseling sessions.,Increased collaboration opportunities between departments.
2023-05-12,Business,Telecommunication,3.2,4,1,4,4,5,2,3,2,2,4,Great opportunities for practical learning and internships.,Improvement in Wi-Fi connectivity across the campus.,The librarian was extremely helpful in finding specific research materials.,Better mental health support services.,Regular town hall meetings to discuss student concerns.
2023-08-10,Business,Computer Networking,2.2,3,3,5,1,1,2,4,2,4,1,Good emphasis on technology and innovation.,Better communication between departments.,The staff at the IT helpdesk was incredibly supportive during my project.,Additional workshops on modern technologies and tools.,Increased collaboration opportunities between departments.
2023-07-28,Technical,Computer Networking,1.2,2,1,2,5,4,5,1,3,5,2,Great opportunities for practical learning and internships.,Need for more modern and updated classroom facilities.,My academic advisor was always available and provided great guidance.,Additional workshops on modern technologies and tools.,Frequent cultural and diversity events.
2023-06-13,Business,Financial Engineering,3.1,3,1,2,3,4,4,1,5,5,5,Strong academic curriculum and supportive faculty.,Need for more modern and updated classroom facilities.,The staff at the IT helpdesk was incredibly supportive during my project.,More frequent career counseling sessions.,Increased collaboration opportunities between departments.
2023-01-08,Business,Computer Networking,1.1,3,3,1,2,5,4,3,2,3,2,Supportive career services and guidance.,Better communication between departments.,The librarian was extremely helpful in finding specific research materials.,Better mental health support services.,More student-led clubs and activities would boost engagement.
2023-01-22,Technical,Telecommunication,2.2,1,4,3,3,4,2,4,4,4,4,Supportive career services and guidance.,Better coordination in scheduling exams and assignments.,My academic advisor was always available and provided great guidance.,Increased access to online learning materials.,Frequent cultural and diversity events.
2023-06-30,Technical,Computer Networking,1.2,2,4,2,4,4,5,2,4,5,2,Great opportunities for practical learning and internships.,More diverse extracurricular activities are needed.,A faculty member guided me towards an internship opportunity that shaped my career.,Better mental health support services.,More student-led clubs and activities would boost engagement.
2023-01-02,Technical,Data Science,3.1,4,1,1,1,5,1,5,2,1,4,Great opportunities for practical learning and internships.,Improvement in Wi-Fi connectivity across the campus.,My academic advisor was always available and provided great guidance.,More frequent career counseling sessions.,More student-led clubs and activities would boost engagement.
2023-04-27,Technical,Digital Marketing,1.2,1,1,5,5,5,2,3,4,4,2,Good emphasis on technology and innovation.,Need for more modern and updated classroom facilities.,Professor Smith helped me grasp difficult concepts in networking.,More study spaces during exam periods would be helpful.,More student-led clubs and activities would boost engagement.
2023-03-17,Business,Computer Networking,3.1,2,4,5,5,2,4,3,1,4,3,Great opportunities for practical learning and internships.,Improvement in Wi-Fi connectivity across the campus.,The staff at the IT helpdesk was incredibly supportive during my project.,Better mental health support services.,More student-led clubs and activities would boost engagement.
2023-02-03,Business,Financial Engineering,2.2,3,4,5,3,5,3,4,4,1,3,Good emphasis on technology and innovation.,Need for more modern and updated classroom facilities.,The staff at the IT helpdesk was incredibly supportive during my project.,More study spaces during exam periods would be helpful.,Regular town hall meetings to discuss student concerns.
2023-01-24,Technical,Telecommunication,1.1,5,5,5,4,1,1,2,5,4,3,Great opportunities for practical learning and internships.,Better communication between departments.,The librarian was extremely helpful in finding specific research materials.,Increased access to online learning materials.,Increased collaboration opportunities between departments.
2023-06-01,Technical,Software Engineering,2.2,2,5,1,4,1,4,5,1,1,4,Strong academic curriculum and supportive faculty.,More diverse extracurricular activities are needed.,The librarian was extremely helpful in finding specific research materials.,Better mental health support services.,More hands-on workshops and hackathons.
2023-02-04,Technical,Financial Engineering,1.2,2,1,1,4,4,1,5,1,1,2,Well-maintained library and excellent resources.,Better coordination in scheduling exams and assignments.,A faculty member guided me towards an internship opportunity that shaped my career.,Increased access to online learning materials.,More student-led clubs and activities would boost engagement.
2023-07-29,Technical,Digital Marketing,1.2,1,5,5,3,3,1,2,2,5,4,Great opportunities for practical learning and internships.,More diverse extracurricular activities are needed.,The librarian was extremely helpful in finding specific research materials.,Increased access to online learning materials.,Frequent cultural and diversity events.
2023-03-24,Technical,Telecommunication,1.1,4,2,4,2,3,2,2,5,2,2,Well-maintained library and excellent resources.,More diverse extracurricular activities are needed.,A faculty member guided me towards an internship opportunity that shaped my career.,Better mental health support services.,Regular town hall meetings to discuss student concerns.
2023-03-14,Business,Software Engineering,3.1,3,2,3,1,1,2,2,4,3,2,Great opportunities for practical learning and internships.,Better communication between departments.,The staff at the IT helpdesk was incredibly supportive during my project.,More frequent career counseling sessions.,Regular town hall meetings to discuss student concerns.
2023-05-26,Business,Financial Engineering,2.1,1,4,5,4,2,5,1,3,2,3,Supportive career services and guidance.,Better communication between departments.,The librarian was extremely helpful in finding specific research materials.,More study spaces during exam periods would be helpful.,Frequent cultural and diversity events.
2023-05-21,Technical,Computer Networking,2.1,1,3,4,3,1,1,4,5,5,4,Great opportunities for practical learning and internships.,Better communication between departments.,Professor Smith helped me grasp difficult concepts in networking.,More study spaces during exam periods would be helpful.,Regular town hall meetings to discuss student concerns.
2023-07-11,Business,Computer Networking,1.1,5,4,4,2,5,3,3,5,1,4,Strong academic curriculum and supportive faculty.,Better coordination in scheduling exams and assignments.,My academic advisor was always available and provided great guidance.,Additional workshops on modern technologies and tools.,Increased collaboration opportunities between departments.
2023-01-05,Business,Financial Engineering,2.1,3,1,3,2,5,2,1,2,5,2,Great opportunities for practical learning and internships.,Improvement in Wi-Fi connectivity across the campus.,A faculty member guided me towards an internship opportunity that shaped my career.,More study spaces during exam periods would be helpful.,Increased collaboration opportunities between departments.
2023-01-30,Business,Data Science,1.1,2,3,2,1,2,5,2,4,5,4,Well-maintained library and excellent resources.,Need for more modern and updated classroom facilities.,A faculty member guided me towards an internship opportunity that shaped my career.,More frequent career counseling sessions.,Regular town hall meetings to discuss student concerns.
2023-03-20,Technical,Computer Networking,1.2,2,1,4,5,5,3,3,2,3,1,Good emphasis on technology and innovation.,Better coordination in scheduling exams and assignments.,The staff at the IT helpdesk was incredibly supportive during my project.,Better mental health support services.,Frequent cultural and diversity events.
2023-02-21,Business,Digital Marketing,1.1,2,2,4,4,3,1,4,3,4,3,Strong academic curriculum and supportive faculty.,Better coordination in scheduling exams and assignments.,A faculty member guided me towards an internship opportunity that shaped my career.,Better mental health support services.,Frequent cultural and diversity events.
2023-06-14,Business,Financial Engineering,1.2,2,4,4,4,3,4,2,4,5,1,Great opportunities for practical learning and internships.,Improvement in Wi-Fi connectivity across the campus.,A faculty member guided me towards an internship opportunity that shaped my career.,Additional workshops on modern technologies and tools.,Increased collaboration opportunities between departments.
2023-03-07,Technical,Software Engineering,3.2,4,1,2,3,2,3,5,1,3,5,Supportive career services and guidance.,Improvement in Wi-Fi connectivity across the campus.,The staff at the IT helpdesk was incredibly supportive during my project.,Additional workshops on modern technologies and tools.,Increased collaboration opportunities between departments.
2023-04-18,Technical,Telecommunication,2.1,3,3,1,3,5,4,4,5,5,4,Great opportunities for practical learning and internships.,Improvement in Wi-Fi connectivity across the campus.,The librarian was extremely helpful in finding specific research materials.,More frequent career counseling sessions.,Increased collaboration opportunities between departments.
2023-01-22,Business,Computer Networking,1.2,3,1,1,3,4,4,5,1,5,5,Well-maintained library and excellent resources.,Improvement in Wi-Fi connectivity across the campus.,A faculty member guided me towards an internship opportunity that shaped my career.,Better mental health support services.,More student-led clubs and activities would boost engagement.
2023-06-17,Technical,Data Science,2.1,3,1,3,1,2,3,5,2,5,4,Great opportunities for practical learning and internships.,Better communication between departments.,The librarian was extremely helpful in finding specific research materials.,Better mental health support services.,More hands-on workshops and hackathons.
2023-01-14,Technical,Data Science,2.2,1,4,3,1,3,3,1,2,2,4,Good emphasis on technology and innovation.,More diverse extracurricular activities are needed.,A faculty member guided me towards an internship opportunity that shaped my career.,Better mental health support services.,More student-led clubs and activities would boost engagement.
2023-06-05,Business,Computer Networking,3.1,5,4,2,5,2,1,5,2,4,5,Great opportunities for practical learning and internships.,Better coordination in scheduling exams and assignments.,The librarian was extremely helpful in finding specific research materials.,Additional workshops on modern technologies and tools.,Frequent cultural and diversity events.
2023-07-02,Business,Digital Marketing,2.2,3,2,2,4,5,4,2,5,5,4,Good emphasis on technology and innovation.,Improvement in Wi-Fi connectivity across the campus.,My academic advisor was always available and provided great guidance.,More study spaces during exam periods would be helpful.,More student-led clubs and activities would boost engagement.
2023-03-15,Business,Financial Engineering,3.1,4,4,5,1,3,5,2,3,4,2,Good emphasis on technology and innovation.,Better communication between departments.,Professor Smith helped me grasp difficult concepts in networking.,More study spaces during exam periods would be helpful.,Increased collaboration opportunities between departments.
2023-07-07,Business,Telecommunication,2.1,5,1,3,5,1,3,5,3,3,4,Supportive career services and guidance.,Better communication between departments.,The librarian was extremely helpful in finding specific research materials.,Increased access to online learning materials.,More student-led clubs and activities would boost engagement.
2023-04-25,Business,Financial Engineering,3.1,3,1,1,1,4,5,4,1,5,5,Well-maintained library and excellent resources.,Need for more modern and updated classroom facilities.,The librarian was extremely helpful in finding specific research materials.,Additional workshops on modern technologies and tools.,Frequent cultural and diversity events.
2023-05-11,Business,Telecommunication,1.2,2,1,1,2,2,4,4,5,4,3,Good emphasis on technology and innovation.,More diverse extracurricular activities are needed.,A faculty member guided me towards an internship opportunity that shaped my career.,Better mental health support services.,Frequent cultural and diversity events.
2023-02-25,Technical,Telecommunication,2.2,5,2,1,1,1,4,1,3,5,5,Great opportunities for practical learning and internships.,Improvement in Wi-Fi connectivity across the campus.,My academic advisor was always available and provided great guidance.,Increased access to online learning materials.,More student-led clubs and activities would boost engagement.
2023-07-23,Business,Computer Networking,1.2,2,5,5,3,1,4,2,1,2,5,Good emphasis on technology and innovation.,Better communication between departments.,Professor Smith helped me grasp difficult concepts in networking.,More frequent career counseling sessions.,Frequent cultural and diversity events.
2023-02-16,Business,Software Engineering,3.1,3,2,3,5,1,1,1,5,1,2,Good emphasis on technology and innovation.,Improvement in Wi-Fi connectivity across the campus.,Professor Smith helped me grasp difficult concepts in networking.,More frequent career counseling sessions.,Frequent cultural and diversity events.
2023-03-12,Business,Financial Engineering,3.2,1,4,1,5,1,5,4,3,5,5,Great opportunities for practical learning and internships.,Improvement in Wi-Fi connectivity across the campus.,My academic advisor was always available and provided great guidance.,Additional workshops on modern technologies and tools.,More hands-on workshops and hackathons.
2023-04-20,Business,Financial Engineering,2.1,4,2,2,4,1,5,4,2,3,1,Strong academic curriculum and supportive faculty.,Need for more modern and updated classroom facilities.,The librarian was extremely helpful in finding specific research materials.,More study spaces during exam periods would be helpful.,More student-led clubs and activities would boost engagement.
2023-08-17,Business,Digital Marketing,3.2,2,2,2,1,1,5,5,4,4,4,Good emphasis on technology and innovation.,Improvement in Wi-Fi connectivity across the campus.,The staff at the IT helpdesk was incredibly supportive during my project.,More frequent career counseling sessions.,Regular town hall meetings to discuss student concerns.
2023-07-21,Business,Financial Engineering,1.1,2,1,1,4,3,5,5,4,4,3,Great opportunities for practical learning and internships.,Improvement in Wi-Fi connectivity across the campus.,The staff at the IT helpdesk was incredibly supportive during my project.,Additional workshops on modern technologies and tools.,Regular town hall meetings to discuss student concerns.
2023-08-21,Business,Software Engineering,3.2,2,4,4,4,1,5,4,4,1,5,Great opportunities for practical learning and internships.,Need for more modern and updated classroom facilities.,A faculty member guided me towards an internship opportunity that shaped my career.,Better mental health support services.,Frequent cultural and diversity events.
2023-03-19,Business,Data Science,3.1,3,4,4,1,4,3,1,2,3,5,Well-maintained library and excellent resources.,Better communication between departments.,My academic advisor was always available and provided great guidance.,Additional workshops on modern technologies and tools.,More student-led clubs and activities would boost engagement.
2023-04-23,Technical,Software Engineering,1.1,2,3,1,5,1,2,3,3,4,1,Strong academic curriculum and supportive faculty.,Better coordination in scheduling exams and assignments.,My academic advisor was always available and provided great guidance.,Additional workshops on modern technologies and tools.,Increased collaboration opportunities between departments.
2023-06-10,Technical,Data Science,3.2,2,3,5,5,4,1,3,3,1,5,Well-maintained library and excellent resources.,Improvement in Wi-Fi connectivity across the campus.,My academic advisor was always available and provided great guidance.,Increased access to online learning materials.,Regular town hall meetings to discuss student concerns.
2023-07-20,Business,Digital Marketing,1.2,5,1,5,3,2,3,2,2,3,5,Supportive career services and guidance.,More diverse extracurricular activities are needed.,My academic advisor was always available and provided great guidance.,More study spaces during exam periods would be helpful.,Increased collaboration opportunities between departments.
2023-04-16,Business,Telecommunication,2.2,2,4,1,5,3,5,4,5,3,3,Well-maintained library and excellent resources.,Improvement in Wi-Fi connectivity across the campus.,The librarian was extremely helpful in finding specific research materials.,Increased access to online learning materials.,Regular town hall meetings to discuss student concerns.
2023-04-17,Business,Computer Networking,2.1,2,2,1,3,5,5,1,5,3,3,Good emphasis on technology and innovation.,Better communication between departments.,The staff at the IT helpdesk was incredibly supportive during my project.,Increased access to online learning materials.,More student-led clubs and activities would boost engagement.
2023-01-29,Technical,Data Science,2.1,4,4,2,5,3,4,4,4,5,3,Great opportunities for practical learning and internships.,Need for more modern and updated classroom facilities.,The staff at the IT helpdesk was incredibly supportive during my project.,More frequent career counseling sessions.,Frequent cultural and diversity events.
2023-09-02,Technical,Data Science,1.2,3,4,3,1,3,1,4,5,5,1,Well-maintained library and excellent resources.,More diverse extracurricular activities are needed.,The staff at the IT helpdesk was incredibly supportive during my project.,Better mental health support services.,More student-led clubs and activities would boost engagement.
